Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Academic Program Code
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3966 ,ECh: Geography ,1,0,1,0,0,0,0,1,0,0,0,1,0,10KN3966BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3967 ,ECh: History ,3,0,3,0,2,1,0,0,0,0,0,3,0,10KN3967BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,11,0,11,0,8,2,1,0,0,0,0,11,0,10KN3968BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3969 ,ECh: Linguistics ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KN3969BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3970 ,ECh: Mathematics ,12,1,11,0,12,0,0,0,0,0,0,11,1,10KN3970BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3971 ,ECh: Music ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3971BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3975 ,ECh: Psychology ,21,2,19,0,17,1,1,1,0,1,0,19,2,10KN3975BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3976 ,ECh: Sociology ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3976BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3977 ,ECh: Theatre ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3977BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4010 ,ECh: Italian ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN4010BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,8,0,8,0,3,2,0,2,1,0,0,8,0,10KN4014BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN0095BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3937 ,EIEd: Art ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3937BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3939 ,EIEd: Biology ,3,1,2,0,3,0,0,0,0,0,0,3,0,10KN3939BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3941 ,EIEd: Dance ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KN3941BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3942 ,EIEd: Earth Science ,4,0,4,0,2,0,2,0,0,0,0,4,0,10KN3942BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3945 ,EIEd: Geography ,6,3,3,0,3,2,1,0,0,0,0,6,0,10KN3945BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3946 ,EIEd: History ,24,5,19,0,22,1,0,1,0,0,0,23,1,10KN3946BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3947 ,EIEd: Language Arts ,65,4,61,0,57,2,6,0,0,0,0,64,1,10KN3947BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3949 ,EIEd: Mathematics ,75,6,69,0,50,15,4,4,0,1,1,71,4,10KN3949BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3950 ,EIEd: Music ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3950BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3953 ,EIEd: Political Science ,1,1,0,0,0,0,0,0,0,0,1,1,0,10KN3953BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3954 ,ElEd: Psychology ,40,2,38,0,33,3,2,0,0,0,2,39,1,10KN3954BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3955 ,ElEd: Sociology ,17,1,16,0,14,3,0,0,0,0,0,17,0,10KN3955BS
