Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120088 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,36,10,26,0,20,3,2,3,0,8,0,13,23,10KS0191PHD,,,,,
120088 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,2822,1237,1582,3,2097,190,100,137,4,247,47,2400,422, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
120088 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,,,,,
120088 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,198,140,58,0,74,18,7,7,0,89,3,86,112,10KS9875MBA,,,,,
120088 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,67,49,18,0,45,11,2,1,0,4,4,66,1,10KS4064MBA,,,,,
120088 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,598,409,188,1,392,101,18,29,1,46,11,518,80,10KM0075BS,,,,,
120088 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,2,2,0,0,0,0,1,1,0,0,0,2,0,10KS0075MS,,,,,
120088 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,3,1,2,0,0,0,0,0,0,3,0,0,3,10KS0075MSK,,,,,
120088 ,KM ,260 ,MS ,0075 ,Finance ,3927 ,International Program ,107,74,33,0,14,7,0,0,0,82,4,12,95,10KS3927MS,,,,,
120088 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,17,10,7,0,2,1,0,0,0,14,0,2,15,10KS0075PHD,,,,,
120088 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,596,343,252,1,315,123,29,40,2,80,7,479,117,10KM0071BS,,,,,
120088 ,KM ,346 ,BS ,0071 ,Accountancy ,0072 ,Accountancy (BS/Master Prg) ,154,85,69,0,107,22,2,11,0,10,2,135,19,10KM0072BS,,,,,
120088 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,210,113,96,1,135,41,2,12,0,20,0,173,37,10KS0071MAS,,,,,
120088 ,KM ,346 ,MAS ,0071 ,Accountancy ,5101 ,Taxation ,1,1,0,0,0,0,0,0,0,1,0,0,1,10KS5101MAS,,,,,
120088 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS0071MSK,,,,,
120088 ,KM ,346 ,MS ,0071 ,Accountancy ,0193 ,Tax ,26,11,14,1,10,2,1,4,0,4,5,20,6,10KS0193MS2,,,,,
120088 ,KM ,346 ,MS ,0071 ,Accountancy ,3928 ,International Program ,104,33,71,0,5,5,0,0,0,94,0,8,96,10KS3928MS,,,,,
120088 ,KM ,346 ,NDEG ,0071 ,Accountancy ,0073 ,Accountancy Postb ,32,18,14,0,15,5,3,6,0,3,0,30,2,10KM0073NDEG,,,,,
120088 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,23,13,10,0,6,2,1,0,0,14,0,4,19,10KS0071PHD,,,,,
120088 ,KM ,902 ,BS ,0079 ,Business Administration ,0080 ,Marketing ,113,38,75,0,69,12,14,14,0,4,0,102,11,10KM0080BS,,,,,
120088 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,36,13,23,0,27,3,3,3,0,0,0,32,4,10KM0081BS,,,,,
120088 ,KM ,902 ,BS ,0079 ,Business Administration ,0083 ,Management Science ,4,3,1,0,2,2,0,0,0,0,0,3,1,10KM0083BS,,,,,
120088 ,KM ,902 ,BS ,0079 ,Business Administration ,0085 ,Management Info Systems ,13,10,3,0,10,2,1,0,0,0,0,13,0,10KM0085BS,,,,,
120088 ,KM ,902 ,BS ,0079 ,Business Administration ,0086 ,Entrepreneurship ,39,27,12,0,27,4,5,0,0,2,1,36,3,10KM0086BS,,,,,
120088 ,KM ,902 ,BS ,0079 ,Business Administration ,0087 ,Food and Agribusiness Mgt ,1,1,0,0,0,0,0,1,0,0,0,1,0,10KM0087BS,,,,,
120088 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,75,32,43,0,50,8,4,7,1,2,3,69,6,10KM1432BS,,,,,
120088 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,27,7,20,0,17,4,2,1,1,0,2,25,2,10KM8037BS,,,,,
120088 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,23,18,5,0,13,4,0,4,0,1,1,20,3,10KM5070BS,,,,,
120088 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,2,0,10KM8037BS,,,,,
120088 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,22,14,8,0,17,5,0,0,0,0,0,19,3,10KM5071BS,,,,,
120088 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,2,2,0,0,2,0,0,0,0,0,0,2,0,10KM8037BS,,,,,
120088 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,6,3,3,0,4,1,0,0,0,1,0,5,1,10KM5072BS,,,,,
120088 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,11,7,4,0,7,0,1,1,1,1,0,10,1,10KM5073BS,,,,,
120088 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,6,2,4,0,4,0,0,1,0,1,0,5,1,10KM8037BS,,,,,
120088 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,27,11,16,0,17,2,1,5,0,2,0,24,3,10KM5073BS,,,,,
120088 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,3,1,2,0,2,0,0,1,0,0,0,3,0,10KM8037BS,,,,,
120088 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,31,17,14,0,22,5,1,1,0,2,0,29,2,10KM5073BS,,,,,
120088 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,6,3,3,0,2,0,2,1,0,1,0,5,1,10KM8037BS,,,,,
120088 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,49,31,18,0,0,0,0,0,0,49,0,0,49,10KS5148MS,,,,,
120088 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,48,28,20,0,11,5,0,1,0,31,0,4,44,10KS0079PHD,,,,,
120088 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,90,69,18,3,63,9,6,4,0,1,7,78,12,10KS3924MBA2,,,,,
120088 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,37,24,13,0,2,0,0,0,0,35,0,2,35,10KM0067NDEG,,,,,
120088 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,1139,652,487,0,656,177,79,108,4,88,27,957,182,10KM0070NONE,,,,,
120088 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,3949,2316,1626,7,2146,581,185,264,10,686,77,2981,968, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
120088 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,,,,,
120088 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,288,24,264,0,216,24,20,22,0,3,3,274,14,10KN4089NONE,,,,,
120088 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,67,8,59,0,56,1,2,5,1,0,2,65,2,10KN0093BS,,,,,
120088 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,1,10KS0093CAS,,,,,
120088 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,31,5,26,0,23,2,1,3,0,1,1,27,4,10KS0093EDM,,,,,
120088 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KS0093EDMX,,,,,
120088 ,KN ,570 ,MA ,0093 ,Special Education ,  ,  ,3,0,2,1,2,0,0,0,0,0,1,2,1,10KS0093MA,,,,,
120088 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,8,1,7,0,7,0,1,0,0,0,0,8,0,10KS0093MS,,,,,
120088 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,22,6,16,0,12,1,3,0,0,6,0,11,11,10KS0093PHD,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KN0094BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3962 ,ECh: Dance ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3962BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3967 ,ECh: History ,4,1,3,0,4,0,0,0,0,0,0,4,0,10KN3967BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,11,0,11,0,10,0,1,0,0,0,0,11,0,10KN3968BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3969 ,ECh: Linguistics ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3969BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3970 ,ECh: Mathematics ,7,0,7,0,6,1,0,0,0,0,0,7,0,10KN3970BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3975 ,ECh: Psychology ,12,0,11,1,11,0,0,0,0,0,1,12,0,10KN3975BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3976 ,ECh: Sociology ,3,0,3,0,3,0,0,0,0,0,0,3,0,10KN3976BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4010 ,ECh: Italian ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN4010BS,,,,,
120088 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,13,0,13,0,9,1,0,3,0,0,0,13,0,10KN4014BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,  ,  ,2,0,2,0,1,0,0,0,0,0,1,2,0,10KN0095BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3939 ,EIEd: Biology ,3,1,2,0,2,0,0,0,0,0,1,3,0,10KN3939BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3942 ,EIEd: Earth Science ,2,1,1,0,2,0,0,0,0,0,0,2,0,10KN3942BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3945 ,EIEd: Geography ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3945BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3946 ,EIEd: History ,14,3,11,0,13,1,0,0,0,0,0,14,0,10KN3946BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3947 ,EIEd: Language Arts ,59,2,57,0,44,5,4,3,0,1,2,58,1,10KN3947BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3949 ,EIEd: Mathematics ,80,4,76,0,65,8,2,4,0,0,1,79,1,10KN3949BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3950 ,EIEd: Music ,2,1,1,0,1,0,0,0,0,0,1,2,0,10KN3950BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3954 ,ElEd: Psychology ,42,2,40,0,34,1,1,2,0,1,3,42,0,10KN3954BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3955 ,ElEd: Sociology ,6,0,6,0,4,0,0,1,1,0,0,6,0,10KN3955BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3995 ,EIEd: Chinese ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KN3995BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3996 ,EIEd: French ,4,1,3,0,4,0,0,0,0,0,0,4,0,10KN3996BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,3997 ,EIEd: German ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3997BS,,,,,
120088 ,KN ,613 ,BS ,0095 ,Elementary Education ,4004 ,EIEd: Spanish ,44,1,43,0,36,2,0,6,0,0,0,43,1,10KN4004BS,,,,,
120088 ,KN ,613 ,CAS ,0095 ,Elementary Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KS0095CAS,,,,,
120088 ,KN ,613 ,EDD ,0095 ,Elementary Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0095EDD,,,,,
120088 ,KN ,613 ,EDD ,1144 ,Curriculum and Instruction ,  ,  ,2,0,2,0,0,1,1,0,0,0,0,1,1,10KS1144EDD,,,,,
120088 ,KN ,613 ,EDM ,0095 ,Elementary Education ,  ,  ,22,1,21,0,14,1,4,2,0,1,0,21,1,10KS0095EDM,,,,,
120088 ,KN ,613 ,EDM ,0095 ,Elementary Education ,0211 ,Elementary Ed - Cert ,13,3,10,0,11,0,0,1,1,0,0,13,0,10KS0211EDM,,,,,
120088 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,  ,  ,5,2,3,0,5,0,0,0,0,0,0,5,0,10KS0215EDM,,,,,
120088 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0216 ,English Certification ,7,1,6,0,6,0,0,1,0,0,0,6,1,10KS0216EDM,,,,,
120088 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0217 ,Social Studies Certification ,4,3,1,0,3,0,0,1,0,0,0,3,1,10KS0217EDM,,,,,
120088 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0218 ,Sciences Certification ,4,3,1,0,3,0,0,1,0,0,0,4,0,10KS0218EDM,,,,,
120088 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0219 ,Mathematics Certification ,3,2,1,0,2,1,0,0,0,0,0,3,0,10KS0219EDM,,,,,
120088 ,KN ,613 ,EDM ,1144 ,Curriculum and Instruction ,  ,  ,15,2,13,0,10,2,2,1,0,0,0,14,1,10KS1144EDM,,,,,
120088 ,KN ,613 ,EDM ,5082 ,Early Childhood Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KS5082EDM,,,,,
120088 ,KN ,613 ,EDM ,8527 ,Secondary Education ,  ,  ,3,1,2,0,3,0,0,0,0,0,0,3,0,10KS8527EDM,,,,,
