Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,Academic Program Code
120118 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,4,3,1,0,1,0,1,0,0,0,0,2,0,1,0,2,2,1PKS0025MS
120118 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,18,6,12,0,14,0,2,1,0,0,1,0,0,3,0,18,0,10KL0046BS
120118 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,22,7,15,0,20,1,1,0,0,0,0,0,0,1,0,20,2,10KL0047BS
120118 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",38,6,32,0,33,1,2,0,0,0,1,1,0,3,1,37,1,10KL5033BS
120118 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,147,9,138,0,101,12,18,10,1,1,1,2,1,18,1,139,8,10KL0049BS
120118 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,70,7,63,0,48,1,8,10,1,0,2,0,0,9,1,63,7,10KL0050BS
120118 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,8,1,7,0,7,0,0,0,0,0,1,0,0,0,0,7,1,10KS0181MS
120118 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0183MS
120118 ,KL ,793 ,NONE ,0048 ,Human Development & Family St ,  ,  ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10KL0048NONE
120118 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,19,4,15,0,13,1,2,0,0,0,1,2,0,2,0,6,13,10KS0183PHD
120118 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,8,3,5,0,4,2,1,1,0,0,0,0,0,1,0,2,6,10KS0183PHD
120118 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0031BS
120118 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,22,19,3,0,22,0,0,0,0,0,0,0,0,0,0,22,0,10KL0033BS
120118 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,38,30,8,0,38,0,0,0,0,0,0,0,0,0,0,38,0,10KL0034BS
120118 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,26,17,9,0,20,0,0,0,1,0,1,4,0,1,1,22,4,10KL0035BS
120118 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,3,3,0,0,2,0,1,0,0,0,0,0,0,1,0,3,0,10KL0036BS
120118 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5123 ,Integrated Pest Management ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL5123BS
120118 ,KL ,802 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,4,3,1,0,3,0,0,1,0,0,0,0,0,0,0,4,0,10KL0063BS
120118 ,KL ,802 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0064BS
120118 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,16,10,6,0,15,0,1,0,0,0,0,0,0,1,0,15,1,10KL0063BS
120118 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,9,6,3,0,6,1,0,0,0,0,0,1,1,0,0,8,1,10KL0065BS
120118 ,KL ,802 ,BS ,0063 ,Horticulture ,5301 ,Specialty Crops ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0063BS
120118 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,48,35,13,0,31,3,1,0,0,0,0,12,1,1,0,27,21,10KS0030MS
120118 ,KL ,802 ,MS ,0179 ,Plant Pathology ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0179MS
120118 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,6,4,2,0,2,0,0,0,0,0,0,4,0,0,0,0,6,10KS5100MS
120118 ,KL ,802 ,NONE ,0030 ,Crop Sciences ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0030NONE
120118 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,56,40,16,0,28,3,0,0,0,0,0,25,0,0,0,17,39,10KS0030PHD
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0051BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,42,21,21,0,38,3,0,0,0,0,1,0,0,0,0,42,0,10KL0051BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,18,9,9,0,14,0,0,2,0,0,0,2,0,0,0,16,2,10KL0057BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3870 ,Forest Science ,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,10KL3870BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,6,2,4,0,4,0,1,1,0,0,0,0,0,1,0,6,0,10KL3871BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,7,6,1,0,6,0,0,0,0,0,0,1,0,0,0,6,1,10KL3872BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,4,3,1,0,3,1,0,0,0,0,0,0,0,0,0,3,1,10KL3873BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,56,27,29,0,44,3,1,1,0,0,2,5,0,1,1,49,7,10KL0051BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,77,36,41,0,58,3,0,3,0,0,4,9,0,1,0,66,11,10KL0051BS
120118 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5241 ,Globl Chg & Landscape Dynamics ,21,14,7,0,15,1,1,0,0,0,1,3,0,1,0,18,3,10KL0051BS
120118 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,47,24,23,0,37,1,0,1,1,0,0,7,0,0,1,15,32,10KS0190MS
120118 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0190MSU
120118 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,30,21,9,0,19,0,0,1,0,0,0,10,0,0,0,11,19,10KS0190PHD
120118 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,22,8,14,0,13,4,2,0,0,0,0,3,0,2,0,10,12,10KS0191MS
120118 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,27,6,21,0,16,3,0,2,0,0,0,6,0,0,0,10,17,10KS0191PHD
120118 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,2988,1347,1640,1,2042,206,126,157,5,2,43,394,13,138,20,2375,613, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120118 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120118 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,217,157,60,0,82,20,11,7,0,1,3,87,6,11,2,89,128,10KS9875MBA
120118 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,80,60,20,0,52,6,6,2,0,0,2,8,4,7,1,80,0,10KS4064MBA
120118 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,492,358,134,0,292,75,9,22,0,1,7,86,0,9,1,374,118,10KM0075BS
120118 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,3,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,3,10KS0075MS
120118 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,142,73,69,0,11,3,0,0,0,0,1,127,0,1,0,8,134,10KS0075MSK
120118 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,25,15,10,0,1,2,0,0,0,0,0,22,0,0,0,1,24,10KS0075PHD
120118 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,942,517,425,0,455,181,33,56,2,2,7,204,2,35,3,677,265,10KM0071BS
120118 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,187,101,86,0,101,39,3,9,0,0,2,33,0,4,1,149,38,10KS0071MAS
120118 ,KM ,346 ,MAS ,0071 ,Accountancy ,5101 ,Taxation ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10KS0071MAS
120118 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,146,33,113,0,2,7,0,0,0,0,0,137,0,0,0,4,142,10KS0071MSK
